Year,Armagh,sheffield,rochespoint,phoenixpark,Markree
2011,4.2,-8.3,5,-0.5,2.4
2011,0,-1.6,2.2,1.8,3.1
2011,1.5,-0.4,2.1,2.7,2.4
2011,0.3,-0.8,1.1,1.7,2.4
2011,-1.7,-2.3,0.7,1.6,2.3
2011,0.3,-1.5,4.1,2.6,2.7
2011,-2.1,-4.7,3.4,0.6,0.3
2011,-0.3,-3.6,4.7,0.3,2.8
2011,0,-2,3.5,-0.5,0.5
2011,0.3,0.3,2.9,-0.2,0.8
2011,-0.3,-3.4,1.4,-0.4,-1.5
2011,-0.5,-0.9,2.7,0.7,1.5
2011,-3,-4.2,-0.6,1.7,-1.7
2011,2.7,-1.3,2.7,0.4,4.3
2011,1.1,-1.7,0.6,-0.3,1.8
2011,0,2,2.6,-1.1,3.7
2011,0.7,4.7,1.3,-0.5,0.4
2011,0.1,0.9,4.1,0.1,-0.1
2011,4.6,-1.6,3.6,-0.3,5.1
2011,-0.8,-0.6,0.1,0,0.7
2011,3.3,1.4,1.2,0.1,2.7
2011,1.9,-1.3,2,3.2,3
2011,0.7,-3.6,1.2,1.6,3.2
2011,3.2,0.7,2.4,1,3.1
2011,3.5,0.3,2.1,0.9,4.3
2011,-1.3,-0.2,-1.6,-2.6,1
2011,-1.9,-0.4,-0.3,3.2,2.7
2011,-0.6,0.3,4.2,2.3,2.3
2011,2.6,4,3.1,2.3,1.8
2011,-1.2,0.8,0.4,2.4,3.1
2011,-1.2,1.6,0.7,-0.1,4.5
2011,6.2,-1.2,5.6,-0.1,5.4
2011,-0.2,-1.4,0.4,0.5,2.3
2011,-1.7,-2.2,3.1,0.4,1.7
2011,-0.5,-6.7,0.6,0.6,-0.9
2011,-0.3,-5.1,1.9,-0.5,1.6
2011,-1.1,-6.9,2.6,-0.5,0.2
2011,-2.6,-8.9,1.5,0.8,1.4
2011,-4.8,-3.2,0.5,0.6,-2.2
2011,5.1,-0.3,1.9,-0.2,2.7
2011,2,-2.2,1.4,-1.5,1.7
2011,0,-1.6,2.1,-0.1,2.1
2011,0,-0.9,0.5,0.5,1
2011,1.6,1.1,1.5,0.8,4.2
2011,0.7,0,0.9,-0.2,2.9
2011,-1.8,-2.7,2.5,0.5,1.6
2011,2.6,1.5,-0.3,-1,2.8
2011,-0.4,-1.9,1.4,0.4,0.5
2011,1.3,0.4,0.6,0.5,2.5
2011,0.4,-1.3,0,0.6,2.6
2011,-1.6,-3.2,2.3,-0.2,0.2
2011,1.2,1.1,1.5,-1,4.1
2011,2.1,1.9,2.5,0.8,3.1
2011,2.9,-2.1,1.3,0.7,1.8
