Year,Bs,T,B,CT,LB,MG,DG
1962,,0.5,-0.1,-1.8,,,1
1962,,-2.7,-2.6,-4,,,-1.5
1962,,-0.3,-0.2,-0.9,,,-0.9
1962,,0.3,-0.5,0.1,,,0.3
1962,,-0.5,-0.5,-0.4,,,-0.7
1962,,-1,-0.3,0.8,,,1
1962,,1.5,0.7,0,,,0.7
1962,,1.4,0.3,2.2,,,1.4
1962,,0.2,0.5,0.3,,,1.6
1962,,-3.6,-0.1,-2.1,,,0.4
1962,,-0.2,-0.2,-1.1,,,1.2
1962,,0,-0.2,-1.3,,,-0.8
1962,,1.6,0.3,-0.5,,,1.6
1962,,-0.7,0.8,0.4,,,0.5
1962,,0,0.4,-1.1,,,0.7
1962,,0.6,0.4,0,,,0.6
1962,,0.5,0.5,-0.1,,,1.2
1962,,2.5,2.7,2,,,4
1962,,3.6,4.1,2.1,,,3.7
1962,,0.5,0.7,-0.2,,,0.9
1962,,-1.8,-1.5,-1.4,,,-0.8
1962,,0.1,0,-0.4,,,0.5
1962,,-0.5,-1,-1.7,,,0.6
1962,,0,0,-1.1,,,0.5
1962,,4.1,3.1,2.6,,,4.2
1962,,1.3,0.1,0.2,,,1.8
1962,,2.8,0,0,,,1.6
1962,,0.4,0.6,-1,,,0.4
1962,,-1.6,-0.7,-1.9,,,-0.1
1962,,0.8,0.7,0.2,,,1.1
1962,,0.7,1.8,1.4,,,1.2
1962,,2.2,1.2,0.8,,,0.2
1962,,0.1,0.7,-1.7,,,0.3
1962,,0.1,0.1,-0.5,,,0.5
1962,,-0.1,0,0,,,0.6
1962,,0.5,0.7,0.5,,,0.9
1962,,0.6,-0.1,-0.7,,,0.6
1962,,0.1,0.7,-0.8,,,0.7
1962,,-0.2,-0.3,-1.9,,,0.3
1962,,0.2,0,-0.7,,,0.4
1962,,-0.6,0.1,-0.1,,,0.8
1962,,-0.2,0,-1.7,,,0.7
1962,,0.7,0.9,-0.3,,,0.4
1962,,0.5,0.4,0.4,,,1.2
1963,,1.2,-0.1,0,,,2.2
1963,,-1.7,-0.3,0,,,-1.3
1963,,-0.7,0.3,0,,,-0.1
1963,,-0.2,0.5,0,,,1.1
1963,,-0.6,-0.5,-1.1,,,-0.1
1963,,-0.2,-0.3,-1.3,,,0.9
1963,,0.8,0.7,-1.7,,,-0.4
1963,,0.7,0.2,0.3,,,1.5
1963,,-1,-0.6,0.3,,,0.8
1963,,-0.5,-1.4,-0.7,,,1
1963,,-3,1.7,-2.7,,,-0.5
1963,,-0.9,-0.1,1.4,,,2
1963,,1.9,2.1,2,,,2.6
1963,,0.4,0.3,-0.6,,,0.9
1963,,0.1,0.7,-1.5,,,-0.5
1963,,-0.1,0.3,-1.3,,,0.4
1963,,-2.3,0.6,-0.5,,,0.4
1963,,0.6,0.8,1.3,,,1.4
1963,,-0.6,0.1,-0.6,,,-0.2
1963,,-1.4,-0.1,-2.4,,,-0.4
1963,,1.8,1.1,-0.3,,,0.2
1963,,0.1,0.5,-1.4,,,0.1
1963,,0.7,-0.1,-1.8,,,-0.1
1963,,-0.7,0.4,-1.4,,,0.5
1963,,2,1.4,0,,,1.5
1963,,-0.4,1.1,0,,,0.6
1963,,0.2,0.6,1.5,,,2.4
1963,,3,3.2,3.1,,,3
1963,,0.2,0.4,0.8,,,0.1
1963,,0,-0.3,-0.8,,,0.5
1963,,1,0.8,-1.2,,,-0.4
1963,,1.3,-1,-0.5,,,-0.1
1963,,2.2,0.1,0.1,,,0.6
1963,,-0.4,-1,0.1,,,0.9
1963,,-0.1,-1.1,0.6,,,1
1963,,3.9,1.4,0.6,,,3.5
1963,,0.5,0.8,-0.1,,,1
1963,,0.6,-0.1,-2.7,,,0.8
1963,,1.4,0.9,-0.3,,,1.6
1963,,-0.2,0.3,-0.7,,,-0.3
1963,,-0.3,-0.3,-1.3,,,0.4
